TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
690.0,4,12,5.45
1700.0,7,33,9.19
700.0,4,13,2.9
800.0,4,15,5.33
600.0,3,9,2.23
500.0,3,9,2.69
710.0,3,12,4.06
540.0,3,9,4.62
550.0,3,10,3.0
550.0,3,8,8.68
400.0,3,7,1.52
910.0,3,16,4.6
1150.0,5,22,3.06
450.0,3,8,1.41
680.0,4,11,5.36
400.0,3,7,1.28
450.0,3,8,1.31
590.0,4,10,5.51
440.0,3,7,2.63
740.0,5,13,2.69
1380.0,5,24,4.52
650.0,3,12,2.38
300.0,3,5,1.28
450.0,3,8,1.05
350.0,3,6,1.28
660.0,3,11,4.6
500.0,3,9,4.73
750.0,4,14,3.75
550.0,3,10,1.59
490.0,3,8,8.65
350.0,2,6,8.54
760.0,4,13,2.48
800.0,4,15,1.63
610.0,3,10,2.68
1260.0,5,23,3.7
860.0,5,15,7.17
870.0,3,15,3.34
720.0,3,12,2.21
300.0,3,5,1.38
970.0,4,17,8.92
350.0,3,6,1.45
600.0,3,11,9.06
500.0,3,9,2.36
550.0,3,10,4.03
600.0,2,11,7.3
450.0,3,8,1.32
560.0,3,9,5.93
550.0,4,10,2.07
500.0,3,9,1.4
910.0,4,14,6.26
450.0,3,8,1.28
700.0,3,13,1.85
860.0,4,15,7.59
390.0,3,6,4.41
850.0,4,16,3.32
650.0,3,12,8.33
700.0,4,13,3.82
560.0,3,9,6.42
400.0,2,7,8.32
600.0,3,11,2.5
1220.0,5,22,5.7
950.0,4,16,9.57
650.0,2,12,9.1
600.0,3,11,3.27
590.0,3,10,8.74
950.0,4,18,3.7
450.0,3,8,1.4
390.0,3,6,1.97
870.0,3,15,5.22
250.0,3,4,1.02
450.0,2,8,8.53
550.0,2,10,8.4
850.0,4,14,2.01
200.0,3,3,0.84
600.0,3,11,2.38
250.0,3,4,0.96
650.0,4,12,2.65
450.0,2,8,7.15
790.0,4,14,4.0
550.0,3,10,2.31
650.0,4,12,2.63
500.0,3,7,2.48
600.0,4,11,3.23
300.0,3,5,1.01
680.0,4,12,7.35
400.0,2,7,7.97
560.0,3,9,1.45
800.0,4,15,6.95
800.0,3,15,4.64
510.0,3,8,1.66
840.0,3,15,4.55
570.0,3,9,7.83
930.0,4,17,3.79
650.0,3,12,1.46
250.0,3,4,0.86
450.0,3,8,2.99
450.0,3,8,1.01
950.0,4,18,7.51
460.0,3,7,3.33
2040.0,8,36,8.43
600.0,3,11,2.81
1090.0,4,20,7.98
920.0,3,16,4.8
1790.0,7,30,9.68
800.0,3,15,8.47
620.0,2,10,8.45
