TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
250.0,1,5,0.72
350.0,1,7,0.92
200.0,1,4,0.43
350.0,1,7,0.55
250.0,1,5,0.66
150.0,1,3,0.4
300.0,1,6,0.44
200.0,1,4,0.35
0.0,1,0,0.35
450.0,1,9,0.81
100.0,1,2,0.48
300.0,1,6,0.45
0.0,1,0,0.24
100.0,1,2,0.38
200.0,1,4,0.45
200.0,1,4,0.54
350.0,1,7,0.79
200.0,1,4,0.28
200.0,1,4,0.31
350.0,1,7,0.45
150.0,1,3,0.29
500.0,1,10,0.52
400.0,1,8,0.55
150.0,1,3,0.37
100.0,1,2,0.34
100.0,1,2,0.43
100.0,1,2,0.35
460.0,1,8,0.78
150.0,1,3,0.4
100.0,1,2,0.47
100.0,1,2,0.3
150.0,1,3,0.37
300.0,1,6,0.83
250.0,1,5,0.64
200.0,1,4,0.68
100.0,1,2,0.28
50.0,1,1,0.4
400.0,1,8,0.49
100.0,1,2,0.25
50.0,1,1,0.29
50.0,1,1,0.27
50.0,1,1,0.27
50.0,1,1,0.27
50.0,1,1,0.29
0.0,1,0,0.24
250.0,1,5,0.43
0.0,1,0,0.32
300.0,1,6,0.55
240.0,1,4,0.47
50.0,1,1,0.28
300.0,1,6,0.63
150.0,1,3,0.37
150.0,1,3,0.27
150.0,1,1,0.4
50.0,1,1,0.25
250.0,1,5,0.52
410.0,1,7,0.56
100.0,1,2,0.26
200.0,1,4,0.41
250.0,1,5,0.36
150.0,1,3,0.34
50.0,1,1,0.36
100.0,1,2,0.26
100.0,1,2,0.36
200.0,1,4,0.31
200.0,1,4,0.32
200.0,1,4,0.53
150.0,1,3,0.46
100.0,1,2,0.32
100.0,1,2,0.3
250.0,1,3,0.47
100.0,1,2,0.4
150.0,1,3,0.36
150.0,1,3,0.41
300.0,1,6,0.53
250.0,1,5,0.44
300.0,1,6,0.31
200.0,1,4,0.54
200.0,1,4,0.34
400.0,1,8,0.44
150.0,1,3,0.36
200.0,1,4,0.41
100.0,1,2,0.29
250.0,1,5,0.78
250.0,1,5,0.44
0.0,1,0,0.26
0.0,1,0,0.3
250.0,1,5,0.48
50.0,1,1,0.25
50.0,1,1,0.28
500.0,1,10,0.58
50.0,1,1,0.37
100.0,1,2,0.27
350.0,1,7,0.59
250.0,1,5,0.48
100.0,1,2,0.37
50.0,1,1,0.23
200.0,1,4,0.39
150.0,1,3,0.33
300.0,1,6,0.57
150.0,1,3,0.59
100.0,1,2,0.26
450.0,1,9,0.69
50.0,1,1,0.25
50.0,1,1,0.29
100.0,1,2,0.31
100.0,1,2,0.25
300.0,1,6,0.51
0.0,1,0,0.25
250.0,1,5,0.47
50.0,1,1,0.25
50.0,1,1,0.37
250.0,1,5,0.55
50.0,1,1,0.26
200.0,1,4,0.48
150.0,1,3,0.29
0.0,1,0,0.29
200.0,1,4,0.46
50.0,1,1,0.31
300.0,1,6,0.88
50.0,1,1,0.25
100.0,1,2,0.28
200.0,1,4,0.39
350.0,1,7,0.53
250.0,1,5,0.36
150.0,1,3,0.25
150.0,1,3,0.62
200.0,1,4,0.32
100.0,1,2,0.3
100.0,1,2,0.28
50.0,1,1,0.32
50.0,1,1,0.27
200.0,1,4,0.37
200.0,1,4,0.3
150.0,1,3,0.31
250.0,1,5,0.37
50.0,1,1,0.23
150.0,1,3,0.27
0.0,1,0,0.24
200.0,1,4,0.77
150.0,1,3,0.4
150.0,1,3,0.37
300.0,1,6,0.56
400.0,1,8,0.58
50.0,1,1,0.24
150.0,1,3,0.28
540.0,1,10,0.85
